"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_NRCS_1991_2020_Average_Water_Year_Peak","Percent_NRCS_1991_2020_Median_Water_Year_Peak","Percent_of_POR_Average_Water_Year_Peak","Percent_of_POR_Median_Water_Year_Peak","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Lamance Creek","569	","Nevada","SNOTEL","Humboldt","6390","41.51542","-117.63197","160401090603	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.4","39","28","1","Lowest","0.5","0.2","0.9","0.4","0","4.7","2019, 2021, 2025, more","1988","45"
"Lamoille #3","570	","Nevada","SNOTEL","Elko","8030","40.6448","-115.3812","160401010607	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1.2","24","35","1","Lowest","1.2","0.7","1.4","1.2","0","4.7","2019, 2021, 2025, more","1984","46"
"Lamoille Upper","1310	","Nevada","SNOTEL","Elko","8990","40.59965","-115.37902","160401010607	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.4",,,"13","19","24",,,"1","1","-1.7","0","4","1","Lowest",,,"3","2.1","0.4","7.3","2025","2022","4"
"Laprele Creek","571	","Wyoming","SNOTEL","Converse","8370","42.43566","-105.86051","101800071201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.5","31","31","31","36","100","5","5","5","5","-0.9","21","35","7",,"1.6","1.6","1.6","1.4","0","4.8","2007, 2021, 2023","1996","44"
"Larsen Creek","1134	","Wyoming","SNOTEL","Sublette","8880","42.58019","-109.08829","101800060101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.2","120","120","120","120","100","10","11","11","12","0.2","60","7","9",,"1","1","1","1","0","1.9","2019","2017, 2020","16"
"Lasal Mountain","572	","Utah","SNOTEL","San Juan","9580","38.48226","-109.27198","140300050404	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.9","69","82","64","75","100","7","7","6","7","-0.3","39","28","17",,"1.3","1.1","1.4","1.2","0","4.9","2008, 2018, 2021, more","2015","45"
"Lasal Mountain-Lower","1215	","Utah","SNOTEL","San Juan","8780","38.48167","-109.29164","140300050404	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1",,,"143","200","100",,,"10","11","0.5","85","3","11",,,,"0.7","0.5","0","3.7","2018, 2020, 2021, more","2015","14"
"Laurel Draw","573	","Nevada","SNOTEL","Elko","6680","41.77637","-116.02957","170501040202	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.6","31","32","1","Lowest","0.7","0.4","0.8","0.6","0","3","2019, 2021, 2025, more","1994","46"
"Leavitt Lake","574	","California","SNOTEL","Mono","9600","38.27594","-119.61281","160503020104	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","3.7","84","95","84","92","100","6","6","6","6","-0.3","44","21","17",,"4.4","3.9","4.4","4","0","13","1995, 2018","2004","37"
"Leavitt Meadows","575	","California","SNOTEL","Mono","7200","38.30367","-119.55111","160503020104	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0",,"0",,"0",,,"0","0","0","62","18","1","Lowest","0.3","0","0.5","0","0","4.4","2023, 2024, 2025, more","1983","46"
"Lee Canyon","1112	","Nevada","SNOTEL","Clark","8620","36.30537","-115.67508","150100150206	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.1","1,050",,"525",,"100","20","24","20","29","2.1","94","2","17","2nd Highest","0.2","0","0.4","0","0","2.2","2021, 2023, 2024, more","2022","18"
"Lemhi Ridge","576	","Montana","SNOTEL","Beaverhead","8080","44.9938","-113.44399","100200011106	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","10","10","11","11","50","2","2","2","2","-1.6","4","49","2","2nd Lowest","2","2","1.8","1.8","0","4.3","2016","1975","51"
"Lewis Lake Divide","577	","Wyoming","SNOTEL","Teton","7880","44.20862","-110.66628","170401010104	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.5","36","36","34","36","79","4","4","4","5","-2.7","11","41","5",,"4.2","4.2","4.4","4.2","0","10.4","1980, 1993, 1999","1984","46"
"Lewis Peak","1006	","Nevada","SNOTEL","Lander","7380","40.3572","-116.8647","160401070903	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","20",,"17",,"100","1","1","1","1","0.1","52","13","14",,"0.5","0","0.6","0","0","2.6","2018, 2019, 2021, more","2024","26"
"Lick Creek","578	","Montana","SNOTEL","Gallatin","6880","45.5041","-110.96625","100200081001	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","12","12","11","12","25","2","2","1","2","-1.5","8","58","6",,"1.7","1.7","1.8","1.7","0","5.5","1999, 2001, 2008, more","1970","63"
"Lightning Ridge","1056	","Utah","SNOTEL","Weber","8200","41.35891","-111.48749","160201020201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.8","42","42","44","44","100","4","4","4","4","-1","29","16","7",,"1.9","1.9","1.8","1.8","0","4.3","2007","2022","22"
"Lily Lake","579	","Utah","SNOTEL","Summit","9130","40.86493","-110.79813","160101010103	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1.9","5","43","1","Lowest","1.7","1.8","1.8","1.9","0","4.6","2007, 2021, 2025","1984","45"
"Lily Pond","580	","Colorado","SNOTEL","Conejos","11060","37.38028","-106.54823","130100020302	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.8","38","36","36","36","100","5","5","5","5","-1.4","20","37","9",,"2.1","2.2","2.2","2.2","0","5.5","1995, 2007, 2016, more","2003","46"
"Limestone Ridge","05DB802	","Alberta","Cooperator Snow Sensors","	","6463","51.89419","-115.38347","	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,,,"0.8","0.8","0.8","0.8","2024","2024","1"
"Little Bear","582	","Utah","SNOTEL","Cache","6540","41.40562","-111.82607","160102030103	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.6","36","31","1","Lowest","0.7","0.5","0.9","0.6","0","4.4","2019, 2021, 2025, more","1984","48"
"Little Chena Ridge","947	","Alaska","SNOTEL","Fairbanks North Star","2150","65.12422","-146.7339","190803060706	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.9","43","50","47","53","90","15","15","15","15","-0.8","19","36","7",,"2.1","1.8","1.9","1.7","0.3","5.1","2018","1994","44"
"Little Elbow Summit","05BJ805	","Alberta","Cooperator Snow Sensors","	","6955","50.70553","-114.98994","	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,,,"2.6","2.6","2.6","2.6","2024","2024","1"
"Little Goose","1131	","Wyoming","SNOTEL","Johnson","8560","44.54315","-107.17865","100901010105	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,"2","1.6","2","1.8","0.7","4.4","2012, 2015","2011","15"
"Little Grassy","583	","Utah","SNOTEL","Washington","6060","37.48631","-113.84582","160300061302	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0",,"0",,"0","0","0","0","0","0","80","9","1","Lowest","0.2","0","0.2","0","0","2.5","2022, 2024, 2025, more","1994","41"
"Little Meadows","584	","Oregon","SNOTEL","Linn","4020","44.61297","-122.22565","170900060301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","6","11","5","10","8","0","0","0","0","-0.9","27","34","12",,"1.8","0.9","2","1","0","11.4","2018, 2019, 2021, more","1994","46"
"Little Snake River","1047	","Wyoming","SNOTEL","Carbon","8930","41.07051","-106.94284","140500030103	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.1","37","37","39","39","92","4","4","4","4","-1.7","10","20","3",,"3","3","2.8","2.8","0","5.1","2007","2013","22"
"Little Valley","1242	","Nevada","SNOTEL","Washoe","6500","39.25259","-119.8771","160501020301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.4",,,"100",,"100",,,"3","5","0.4","75","4","10",,,,"0.4","0","0","1.7","2021, 2023, 2024, more","2015, 2022","13"
"Little Warm","585	","Wyoming","SNOTEL","Fremont","9370","43.50278","-109.752","100800010212	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.2","96","105","92","100","100","18","21","18","20","0","51","24","23",,"2.3","2.1","2.4","2.2","0","6.7","1992","2017","48"
"Lizard Head Pass","586	","Colorado","SNOTEL","Dolores","10190","37.79895","-107.92475","140300020201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1","40","42","42","42","100","6","7","6","7","-1.4","13","40","7",,"2.5","2.4","2.4","2.4","0","5.6","1989, 1999","1996","46"
"Lobdell Lake","587	","California","SNOTEL","Mono","9260","38.43745","-119.36572","160503020201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.7","64","700","54","117","64","4","4","4","4","0.1","55","22","26",,"1.1","0.1","1.3","0.6","0","5.6","2018, 2019, 2021, more","1981, 1982","48"
"Lolo Pass","588	","Idaho","SNOTEL","Idaho","5280","46.63448","-114.58072","170102051401	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-2.6","5","41","1","Lowest","2.7","2.4","2.7","2.6","0","7.1","2001, 2008, 2025","1984","43"
"Lone Cone","589	","Colorado","SNOTEL","San Miguel","9730","37.89169","-108.19636","140300030302	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.2","50","46","50","46","100","7","8","7","8","-1.4","27","34","12",,"2.4","2.6","2.4","2.6","0","6.3","1989, 1999, 2007","1996","46"
"Lone Mountain","590	","Montana","SNOTEL","Madison","8810","45.27412","-111.42692","100200080201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.5","71","68","74","78","96","11","12","11","11","-0.7","21","28","8",,"3.5","3.7","3.4","3.2","0.5","6.7","2016","1995","35"
"Lone Pine","591	","Washington","SNOTEL","Skamania","3940","46.27143","-121.96288","170800020203	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1.8","18","38","1","Lowest","2.7","1","2.9","1.8","0","11.3","2018, 2019, 2025, more","2009","46"
"Lonesome Beaver","1261	","Utah","SNOTEL","Garfield","9530","38.07","-110.77241","140700010301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.8",,,"133","267","100",,,"10","11","0.5","73","4","9",,,,"0.6","0.3","0","2.1","2020, 2021, 2024, more","2022","12"
"Long Draw Resv","1123	","Colorado","SNOTEL","Larimer","9990","40.51154","-105.7654","101900070203	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.1","62","60","68","68","100","11","11","11","12","-1","19","14","3",,"3.4","3.5","3.1","3.1","1.5","5.3","2012","2017","17"
"Long Flat","592	","Utah","SNOTEL","Washington","7990","37.51255","-113.39661","160300061403	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.1","275",,"275",,"100","13","14","13","14","1.1","84","8","39",,"0.4","0","0.4","0","0","3.1","2018, 2020, 2021, more","2000","46"
"Long Lake","1001	","Alaska","SNOTEL","Juneau","840","58.186","-133.83217","190102060505	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","3.3","97","103","97","103","100","8","8","8","8","0.1","56","13","16",,"3.4","3.2","3.4","3.2","0","9.4","2016, 2018, 2019, more","2001","28"
"Long Valley","1016	","Idaho","SNOTEL","Valley","4890","44.78835","-116.08878","170501230206	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.1","46","14","1","Lowest","0.3","0.1","0.3","0.1","0","1.2","2021, 2023, 2025, more","2005","25"
"Long Valley Jct","593	","Utah","SNOTEL","Kane","7460","37.48756","-112.51458","150100080201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.6","600",,"600",,"100","8","11","9","11","0.6","95","3","38",,"0.1","0","0.1","0","0","1.4","2021, 2023, 2024, more","1994","40"
"Look Eyrie","768	","Alaska","SNOTEL","Southeast Fairbanks","5040","63.32192","-145.59655","190803040504	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","17.7",,,"104","104","100",,,"31","31","0.6","100","1","2","2nd Lowest",,,"17.1","17.1","16.5","17.7","2024","2025","2"
"Lookout","594	","Idaho","SNOTEL","Shoshone","5180","47.45749","-115.70457","170103020101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-2.6","7","41","1","Lowest","2.5","2.2","2.7","2.6","0","9.3","2008, 2019, 2025, more","1984","44"
"Lookout Mountain","595	","New Mexico","SNOTEL","Sierra","8510","33.36089","-107.83203","150400010402	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","200",,"200",,"100","8","9","7","9","0.2","96","3","40",,"0.1","0","0.1","0","0","1.3","2021, 2022, 2023, more","2000","46"
"Lookout Peak","596	","Utah","SNOTEL","Salt Lake","8150","40.83731","-111.70965","160202040302	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.2","43","44","43","46","80","4","4","4","4","-1.4","22","30","9",,"2.8","2.7","2.8","2.6","0","6.9","2007","1994","38"
"Loomis Park","597	","Wyoming","SNOTEL","Sublette","8240","43.17387","-110.14007","140401010201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.1","48","55","48","55","100","7","7","7","7","-0.9","18","38","8",,"2.3","2","2.3","2","0.2","7.6","2016","1985","46"
"Lost Creek Resv","1118	","Utah","SNOTEL","Morgan","6070","41.22155","-111.35947","160201010603	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","33","50","25","50","100","2","1","1","1","-0.1","33","11","6",,"0.3","0.2","0.4","0.2","0","1.2","2016, 2019, 2021, more","2011","16"
"Lost Creek South","05BL811	","Alberta","Cooperator Snow Sensors","	","6988","50.17389","-114.71","	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,,,"3.7","3.7","3.7","3.7","2024","2024","1"
"Lost Dog","940	","Colorado","SNOTEL","Routt","9340","40.81557","-106.74833","140500010203	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1","37","33","38","40","83","4","4","4","4","-1.5","15","24","5",,"2.7","3","2.6","2.5","0","6.3","2007","2003","28"
"Lost Horse","599	","Washington","SNOTEL","Yakima","5100","46.35754","-121.0809","170300030302	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.9","17","30","1","Lowest","1.3","0.9","1.3","0.9","0","4","2018, 2019, 2025, more","1996, 2020","36"
"Lost Lake","600	","Idaho","SNOTEL","Shoshone","6090","47.0809","-115.9604","170603080101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.7","11","11","10","10","16","1","1","1","1","-6.1","0","44","1","Lowest","6.4","6.2","6.8","6.8","0.7","21.1","2025","1984","44"
"Lost Lakes","1331	","California","SNOTEL","Alpine","8640","38.64745","-119.95141","160502010301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.5",,,"83","83","68",,,"3","3","-0.3","0","2","1","Lowest",,,"1.8","1.8","1.5","2.2","2025","2024","2"
"Lost-Wood Divide","601	","Idaho","SNOTEL","Blaine","7870","43.82441","-114.26404","170402190304	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.8","36","40","35","38","62","4","4","4","4","-1.3","14","37","7",,"2.2","2","2.3","2.1","0","7.1","1993, 2016, 2018","1996","43"
"Louis Meadow","972	","Utah","SNOTEL","Salt Lake","6750","40.83033","-111.76457","160202040304	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","7","9","7","9","20","1","1","0","1","-1","15","23","4",,"1.5","1.1","1.5","1.1","0","3.9","2001, 2007, 2019","2003","27"
"Loveland Basin","602	","Colorado","SNOTEL","Clear Creek","11410","39.67428","-105.90264","101900040102	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.7","41","44","42","45","100","7","7","7","7","-2.1","0","34","1","Lowest","4.1","3.9","4","3.8","1.7","7.3","2025","2010","34"
"Lower Kibbie Ridge","KIB	","California","Cooperator Snow Sensors","Tuolumne","6470","38.032","-119.877","180400090303	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.9","82","300","64","112","90","4","4","4","4","0.1","59","18","23",,"1.1","0.3","1.4","0.8","0","7.2","2018, 2019, 2024, more","1984","42"
"Lower Lassen Peak","LLP	","California","Cooperator Snow Sensors","Shasta","8220","40.468","-121.507","180201560301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","6.4",,,"136","188","100",,,"8","7","3","87","3","13",,,,"4.7","3.4","0","18","2013, 2018, 2019","2017","16"
"Lower Relief Valley","REL	","California","Cooperator Snow Sensors","Tuolumne","8110","38.243","-119.758","180400100201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,"2.3","1.8","2.4","2","0","10.2","2016, 2018, 2021, more","2004","34"
"Lower Twin","603	","Montana","SNOTEL","Madison","7920","45.50871","-111.92288","100200071101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.1","31","32","31","29","79","5","5","5","5","-2.7","9","42","4",,"3.5","3.4","3.6","3.8","0","6.4","1999, 2016","1984","46"
"Lu Lake","4B15P	","British Columbia","Cooperator Snow Sensors","	","4291","54.18333","-126.3","	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.2","85","92","85","92","100","17","18","18","18","-0.2","43","17","12",,"2.6","2.4","2.6","2.4","0.6","7","1997","2006","29"
"Lubrecht Flume","604	","Montana","SNOTEL","Missoula","4690","46.88293","-113.32228","170102031204	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","25","33","20","33","100","2","2","2","2","-0.2","29","40","14",,"0.4","0.3","0.5","0.3","0","1.7","2015, 2016, 2023, more","1986","56"
"Lucky Strike","605	","Oregon","SNOTEL","Umatilla","4970","45.27478","-118.8479","170701030606	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.5","28","35","1","Lowest","0.6","0.3","0.8","0.5","0","2.9","2019, 2021, 2025, more","1988","48"
"Lyman Lake","606	","Washington","SNOTEL","Chelan","5990","48.19798","-120.91678","170200090203	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","7.8","93","100","90","93","95","12","12","12","13","-0.6","42","26","19",,"8.4","7.8","8.7","8.4","1.9","16.3","1987","1984","44"
"Lynn Lake","1069	","Washington","SNOTEL","King","3910","47.20172","-121.77972","171100130203	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","8","25","8","25","12","0","0","0","0","-0.3","33","13","6",,"1.3","0.4","1.2","0.4","0","5.6","2014, 2018, 2019, more","2011","19"
"Lynx Pass","607	","Colorado","SNOTEL","Routt","8910","40.07832","-106.67095","140100011001	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","12","12","12","12","67","2","2","2","2","-1.4","4","44","3",,"1.6","1.7","1.6","1.6","0","4.9","2021","1985","46"
"MF Nooksack","1011	","Washington","SNOTEL","Whatcom","4940","48.82441","-121.92947","171100040303	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.5","9","9","9","8","19","1","1","1","1","-5.5","13","21","4",,"5.5","5.8","5.5","6","0","12.3","2008, 2014, 2019","2003","24"
"Madison Butte","608	","Oregon","SNOTEL","Morrow","5150","45.10513","-119.49585","170702041101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0",,"0",,"0","0","0","0","0","0","50","23","1","Lowest","0.3","0","0.4","0","0","2.3","2021, 2023, 2025, more","1994","45"
"Madison Plateau","609	","Montana","SNOTEL","Gallatin","7710","44.58623","-111.11627","100200070204	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.5","14","15","14","15","42","2","2","2","2","-2.9","2","58","2","2nd Lowest","3.5","3.4","3.6","3.4","0.2","7.9","1999","1973","59"
"Magic Mountain","610	","Idaho","SNOTEL","Twin Falls","6940","42.18071","-114.28665","170402120601	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.4","25","22","22","22","100","2","2","2","2","-1.4","24","35","10",,"1.6","1.8","1.8","1.8","0","5.2","2001, 2016, 2019, more","1984, 2022","46"
"Mammoth Pass","MHP	","California","Cooperator Snow Sensors","Mono","9400","37.61","-119.033","180901020204	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.7","61","89","61","81","100","4","5","4","5","-0.4","45","19","15",,"2.8","1.9","2.8","2.1","0","12.4","2013, 2018, 2019, more","2004","34"
"Mammoth-Cottonwood","612	","Utah","SNOTEL","Sanpete","8710","39.68338","-111.31818","160300040203	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.4","27","40","25","27","80","2","2","2","2","-1.1","24","36","12",,"1.5","1","1.6","1.5","0","6.2","2008, 2018, 2019, more","1996","47"
"Mancos","905	","Colorado","SNOTEL","Montezuma","10020","37.43109","-108.17005","140801070102	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.1","73","122","85","138","100","7","7","7","7","0.3","68","11","20",,"1.5","0.9","1.3","0.8","0","5","2019, 2021, 2024, more","2000","32"
"Many Glacier","613	","Montana","SNOTEL","Glacier","4930","48.79698","-113.6705","090400010201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1","8","46","1","Lowest","1.2","0.8","1.3","1","0","6","2007, 2008, 2025, more","1984","50"
"Marion Forks","614	","Oregon","SNOTEL","Linn","2590","44.59397","-121.97365","170900050205	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0",,"0",,,"0","0","0","0","0","60","19","1","Lowest","0.4","0","0.4","0","0","4","2021, 2023, 2025, more","1994","46"
"Marlette Lake","615	","Nevada","SNOTEL","Carson City","7860","39.16395","-119.89672","160501010201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.4","108","175","82","117","64","6","6","5","6","0.2","55","22","26",,"1.3","0.8","1.7","1.2","0","5.8","2014, 2016, 2018, more","1994","48"
"Marquette","616	","Wyoming","SNOTEL","Park","8800","44.3016","-109.24019","100800130303	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","5","7","5","7","25","1","1","1","1","-1.4","4","44","3",,"2.1","1.5","2","1.5","0","6.4","2006, 2007","1994","46"
"Marten Ridge","999	","Washington","SNOTEL","Whatcom","3520","48.76292","-121.69823","171100051004	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","4","4","4","4","12","0","0","0","0","-4.4","21","16","5",,"5","4.6","4.9","4.6","0","14.7","2014, 2018, 2019, more","2009","20"
"Maverick Fork","617	","Arizona","SNOTEL","Apache","9210","33.92123","-109.45872","150601010104	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.4","67","200","67","133","100","4","4","4","4","0.1","60","19","26",,"0.6","0.2","0.6","0.3","0","3.8","2020, 2021, 2022, more","2000","46"
"May Creek","1096	","Alaska","SNOTEL","Valdez-Cordova","1550","61.34918","-142.69355","190201031603	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.6","55","60","46","50","100","12","11","10","11","-0.6","17","16","4",,"1.1","1","1.3","1.2","0.2","3.1","2016","2022","19"
"Mc Clure Pass","618	","Colorado","SNOTEL","Gunnison","8760","39.12899","-107.28834","140200040203	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.6","30","30","32","30","86","3","4","3","4","-1.4","20","37","10",,"2","2","1.9","2","0","5.8","1989, 1999, 2007, more","1996","46"
"McBride Upper","1A02P	","British Columbia","Cooperator Snow Sensors","	","5276","53.3","-120.31667","	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","4.1","91","89","105","102","100","19","19","19","19","0.1","55","16","19",,"4.5","4.6","3.9","4","0","7.6","2016","2009","34"
"McGrath","785	","Alaska","SNOTEL","Yukon-Koyukuk","340","62.94652","-155.6102","190304050502	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.8",,,"38","36","100",,,"7","7","-1.4","0","7","1","Lowest",,,"2.1","2.2","0.8","3.2","2025","2022","7"
"Mccoy Park","1040	","Colorado","SNOTEL","Eagle","9500","39.60231","-106.544","140100030302	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1.6","9","22","1","Lowest","1.7","1.6","1.6","1.6","0","4.2","2007, 2021, 2025","2002","24"
"Mckenzie","619	","Oregon","SNOTEL","Lane","4770","44.2103","-121.87292","170900040207	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","3","4","3","3","5","0","0","0","0","-2.9","9","41","5",,"3.3","2.8","3.7","3","0","13.2","2001, 2008, 2019, more","1994","45"
"Mcknight Cabin","1048	","New Mexico","SNOTEL","Grant","9230","33.00796","-107.86982","130302020103	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.3","150",,"150",,"100","7","9","7","9","0.3","82","5","19",,"0.2","0","0.2","0","0","1.2","2021, 2022, 2023, more","2004, 2024","23"
"Mcneil Canyon","1003	","Alaska","SNOTEL","Kenai Peninsula","1350","59.74521","-151.25839","190203010806	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.6","55","60","55","60","75","5","6","5","5","-0.4","30","27","11",,"1.1","1","1.1","1","0","3.2","2013, 2014, 2018, more","2024","38"
"Meadow Lake","620	","Idaho","SNOTEL","Lemhi","9190","44.43655","-113.31815","170602040101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.4","58","54","54","54","93","8","8","8","8","-1.2","18","37","8",,"2.4","2.6","2.6","2.6","0.4","5.8","1993","1984","45"
"Meadow Lake","MDW	","California","Cooperator Snow Sensors","Nevada","7510","39.417","-120.508","180201250601	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,"3","3.2","3.1","3.2","0","9.2","2006, 2007, 2019, more","2002","23"
"Meadows Pass","897	","Washington","SNOTEL","King","3230","47.28312","-121.47197","171100120101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0",,"0","0","0","0","-0.7","22","26","1","Lowest","1.7","0.7","1.7","0.7","0","7.4","2018, 2019, 2025, more","2011","33"
"Med Bow","1196	","Wyoming","SNOTEL","Carbon","10500","41.37833","-106.34697","101800040302	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","3.3",,,"59","63","100",,,"8","8","-1.9","0","14","1","Lowest",,,"5.6","5.2","3.3","8.4","2025","2013, 2017","14"
"Medano Pass","914	","Colorado","SNOTEL","Saguache","9650","37.85192","-105.43666","130100030604	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.3","38","100","43","100","60","4","4","4","4","0","60","13","15",,"0.8","0.3","0.7","0.3","0","2.9","2010, 2017, 2023, more","1996","31"
"Medicine Lake","MED	","California","Cooperator Snow Sensors","Siskiyou","6720","41.587","-121.613","180200030301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,"1.6","0.8","2","1.2","0","11.3","2018, 2019, 2023, more","1984","38"
